path,labels,source
dataset/TESS/YAF_wire_happy.wav,happy,TESS
dataset/TESS/OAF_fat_disgust.wav,disgust,TESS
dataset/TESS/OAF_bought_happy.wav,happy,TESS
dataset/TESS/OAF_fit_neutral.wav,neutral,TESS
dataset/TESS/YAF_dead_fear.wav,fear,TESS
dataset/TESS/OAF_join_neutral.wav,neutral,TESS
dataset/TESS/YAF_hall_happy.wav,happy,TESS
dataset/TESS/YAF_hurl_neutral.wav,neutral,TESS
dataset/TESS/OAF_king_angry.wav,angry,TESS
dataset/TESS/OAF_rot_angry.wav,angry,TESS
dataset/TESS/YAF_hit_ps.wav,surprise,TESS
dataset/TESS/OAF_gaze_sad.wav,sad,TESS
dataset/TESS/YAF_ripe_fear.wav,fear,TESS
dataset/TESS/YAF_dog_neutral.wav,neutral,TESS
dataset/TESS/OAF_hire_angry.wav,angry,TESS
dataset/TESS/OAF_neat_sad.wav,sad,TESS
dataset/TESS/YAF_gin_happy.wav,happy,TESS
dataset/TESS/YAF_sub_neutral.wav,neutral,TESS
dataset/TESS/OAF_mouse_sad.wav,sad,TESS
dataset/TESS/OAF_ripe_disgust.wav,disgust,TESS
dataset/TESS/YAF_date_disgust.wav,disgust,TESS
dataset/TESS/YAF_hall_fear.wav,fear,TESS
dataset/TESS/OAF_voice_disgust.wav,disgust,TESS
dataset/TESS/YAF_laud_neutral.wav,neutral,TESS
dataset/TESS/YAF_numb_angry.wav,angry,TESS
dataset/TESS/YAF_cause_fear.wav,fear,TESS
dataset/TESS/YAF_seize_angry.wav,angry,TESS
dataset/TESS/YAF_rag_disgust.wav,disgust,TESS
dataset/TESS/OAF_take_angry.wav,angry,TESS
dataset/TESS/OAF_page_sad.wav,sad,TESS
dataset/TESS/YAF_dime_sad.wav,sad,TESS
dataset/TESS/OAF_ripe_ps.wav,surprise,TESS
dataset/TESS/YAF_pick_angry.wav,angry,TESS
dataset/TESS/OAF_take_ps.wav,surprise,TESS
dataset/TESS/OAF_calm_angry.wav,angry,TESS
dataset/TESS/OAF_third_fear.wav,fear,TESS
dataset/TESS/OAF_fall_neutral.wav,neutral,TESS
dataset/TESS/OAF_pain_ps.wav,surprise,TESS
dataset/TESS/YAF_shack_neutral.wav,neutral,TESS
dataset/TESS/OAF_yes_fear.wav,fear,TESS
dataset/TESS/YAF_love_happy.wav,happy,TESS
dataset/TESS/YAF_raise_disgust.wav,disgust,TESS
dataset/TESS/OAF_peg_happy.wav,happy,TESS
dataset/TESS/YAF_gaze_happy.wav,happy,TESS
dataset/TESS/YAF_kite_happy.wav,happy,TESS
dataset/TESS/OAF_rush_disgust.wav,disgust,TESS
dataset/TESS/OAF_turn_ps.wav,surprise,TESS
dataset/TESS/YAF_turn_sad.wav,sad,TESS
dataset/TESS/OAF_sheep_disgust.wav,disgust,TESS
dataset/TESS/YAF_came_ps.wav,surprise,TESS
dataset/TESS/OAF_chalk_angry.wav,angry,TESS
dataset/TESS/YAF_dime_neutral.wav,neutral,TESS
dataset/TESS/YAF_should_fear.wav,fear,TESS
dataset/TESS/YAF_team_happy.wav,happy,TESS
dataset/TESS/OAF_doll_neutral.wav,neutral,TESS
dataset/TESS/OAF_thin_fear.wav,fear,TESS
dataset/TESS/OAF_fit_angry.wav,angry,TESS
dataset/TESS/OAF_lose_fear.wav,fear,TESS
dataset/TESS/OAF_size_ps.wav,surprise,TESS
dataset/TESS/YAF_bar_neutral.wav,neutral,TESS
dataset/TESS/OAF_haze_happy.wav,happy,TESS
dataset/TESS/OAF_pole_fear.wav,fear,TESS
dataset/TESS/OAF_kick_fear.wav,fear,TESS
dataset/TESS/YAF_jar_happy.wav,happy,TESS
dataset/TESS/YAF_white_happy.wav,happy,TESS
dataset/TESS/YAF_love_neutral.wav,neutral,TESS
dataset/TESS/OAF_nag_fear.wav,fear,TESS
dataset/TESS/YAF_rot_neutral.wav,neutral,TESS
dataset/TESS/OAF_lose_ps.wav,surprise,TESS
dataset/TESS/OAF_check_sad.wav,sad,TESS
dataset/TESS/YAF_rag_ps.wav,surprise,TESS
dataset/TESS/YAF_mouse_angry.wav,angry,TESS
dataset/TESS/OAF_bite_sad.wav,sad,TESS
dataset/TESS/YAF_pad_sad.wav,sad,TESS
dataset/TESS/YAF_bean_neutral.wav,neutral,TESS
dataset/TESS/OAF_chat_sad.wav,sad,TESS
dataset/TESS/OAF_pike_ps.wav,surprise,TESS
dataset/TESS/OAF_pass_disgust.wav,disgust,TESS
dataset/TESS/OAF_thin_ps.wav,surprise,TESS
dataset/TESS/OAF_juice_neutral.wav,neutral,TESS
dataset/TESS/OAF_met_fear.wav,fear,TESS
dataset/TESS/YAF_kite_sad.wav,sad,TESS
dataset/TESS/YAF_ditch_disgust.wav,disgust,TESS
dataset/TESS/YAF_yes_sad.wav,sad,TESS
dataset/TESS/OAF_read_happy.wav,happy,TESS
dataset/TESS/YAF_whip_angry.wav,angry,TESS
dataset/TESS/OAF_dip_fear.wav,fear,TESS
dataset/TESS/OAF_hash_fear.wav,fear,TESS
dataset/TESS/YAF_fail_fear.wav,fear,TESS
dataset/TESS/OAF_mood_fear.wav,fear,TESS
dataset/TESS/YAF_pike_sad.wav,sad,TESS
dataset/TESS/OAF_bath_fear.wav,fear,TESS
dataset/TESS/YAF_mop_angry.wav,angry,TESS
dataset/TESS/OAF_far_fear.wav,fear,TESS
dataset/TESS/OAF_red_happy.wav,happy,TESS
dataset/TESS/OAF_ton_sad.wav,sad,TESS
dataset/TESS/YAF_read_ps.wav,surprise,TESS
dataset/TESS/YAF_mode_ps.wav,surprise,TESS
dataset/TESS/YAF_pole_neutral.wav,neutral,TESS
dataset/TESS/YAF_door_disgust.wav,disgust,TESS
dataset/TESS/YAF_gin_neutral.wav,neutral,TESS
dataset/TESS/OAF_learn_angry.wav,angry,TESS
dataset/TESS/YAF_fail_neutral.wav,neutral,TESS
dataset/TESS/YAF_pearl_angry.wav,angry,TESS
dataset/TESS/OAF_lid_happy.wav,happy,TESS
dataset/TESS/OAF_vote_ps.wav,surprise,TESS
dataset/TESS/YAF_youth_fear.wav,fear,TESS
dataset/TESS/OAF_such_fear.wav,fear,TESS
dataset/TESS/OAF_knock_sad.wav,sad,TESS
dataset/TESS/YAF_mill_neutral.wav,neutral,TESS
dataset/TESS/YAF_sure_sad.wav,sad,TESS
dataset/TESS/YAF_merge_fear.wav,fear,TESS
dataset/TESS/YAF_wash_sad.wav,sad,TESS
dataset/TESS/YAF_reach_ps.wav,surprise,TESS
dataset/TESS/OAF_soup_fear.wav,fear,TESS
dataset/TESS/OAF_limb_angry.wav,angry,TESS
dataset/TESS/YAF_note_disgust.wav,disgust,TESS
dataset/TESS/YAF_mop_sad.wav,sad,TESS
dataset/TESS/OAF_name_fear.wav,fear,TESS
dataset/TESS/OAF_keg_angry.wav,angry,TESS
dataset/TESS/YAF_mode_sad.wav,sad,TESS
dataset/TESS/YAF_dab_happy.wav,happy,TESS
dataset/TESS/OAF_gun_neutral.wav,neutral,TESS
dataset/TESS/OAF_lore_happy.wav,happy,TESS
dataset/TESS/YAF_mouse_neutral.wav,neutral,TESS
dataset/TESS/YAF_death_happy.wav,happy,TESS
dataset/TESS/OAF_late_sad.wav,sad,TESS
dataset/TESS/YAF_luck_ps.wav,surprise,TESS
dataset/TESS/YAF_phone_sad.wav,sad,TESS
dataset/TESS/OAF_wash_angry.wav,angry,TESS
dataset/TESS/OAF_lid_fear.wav,fear,TESS
dataset/TESS/OAF_thumb_angry.wav,angry,TESS
dataset/TESS/OAF_mood_angry.wav,angry,TESS
dataset/TESS/OAF_haze_disgust.wav,disgust,TESS
dataset/TESS/YAF_void_fear.wav,fear,TESS
dataset/TESS/YAF_fat_happy.wav,happy,TESS
dataset/TESS/OAF_search_sad.wav,sad,TESS
dataset/TESS/OAF_void_angry.wav,angry,TESS
dataset/TESS/YAF_hash_happy.wav,happy,TESS
dataset/TESS/OAF_time_ps.wav,surprise,TESS
dataset/TESS/YAF_when_happy.wav,happy,TESS
dataset/TESS/YAF_room_fear.wav,fear,TESS
dataset/TESS/YAF_pearl_disgust.wav,disgust,TESS
dataset/TESS/OAF_fall_ps.wav,surprise,TESS
dataset/TESS/YAF_juice_ps.wav,surprise,TESS
dataset/TESS/YAF_rose_happy.wav,happy,TESS
dataset/TESS/OAF_whip_sad.wav,sad,TESS
dataset/TESS/YAF_perch_ps.wav,surprise,TESS
dataset/TESS/YAF_turn_angry.wav,angry,TESS
dataset/TESS/YAF_search_disgust.wav,disgust,TESS
dataset/TESS/OAF_tape_sad.wav,sad,TESS
dataset/TESS/OAF_which_ps.wav,surprise,TESS
dataset/TESS/OAF_void_disgust.wav,disgust,TESS
dataset/TESS/OAF_soap_happy.wav,happy,TESS
dataset/TESS/OAF_wash_neutral.wav,neutral,TESS
dataset/TESS/OAF_ditch_fear.wav,fear,TESS
dataset/TESS/OAF_rough_neutral.wav,neutral,TESS
dataset/TESS/OAF_perch_angry.wav,angry,TESS
dataset/TESS/OAF_talk_sad.wav,sad,TESS
dataset/TESS/OAF_said_angry.wav,angry,TESS
dataset/TESS/OAF_book_angry.wav,angry,TESS
dataset/TESS/OAF_boat_happy.wav,happy,TESS
